id,name,type,lat,lng,city,country
LOC-001,TechParts Mumbai,supplier,19.076,72.8777,Mumbai,India
LOC-002,AutoComp Pune,supplier,18.5204,73.8567,Pune,India
LOC-003,Central Warehouse Delhi,warehouse,28.7041,77.1025,Delhi,India
LOC-004,Regional Hub Bangalore,warehouse,12.9716,77.5946,Bangalore,India
LOC-005,Distribution Center Chennai,distribution_center,13.0827,80.2707,Chennai,India
LOC-006,MegaMart Delhi,shop,28.6139,77.209,Delhi,India
LOC-007,QuickShop Mumbai,shop,19.0176,72.8562,Mumbai,India
LOC-008,RetailPoint Bangalore,shop,12.9352,77.6245,Bangalore,India
LOC-009,GreenSupply Hyderabad,supplier,17.385,78.4867,Hyderabad,India
LOC-010,Port Warehouse Chennai,warehouse,13.0878,80.2785,Chennai,India
LOC-011,ElectroParts Kolkata,supplier,22.5726,88.3639,Kolkata,India
LOC-012,NorthEast Hub Guwahati,warehouse,26.1445,91.7362,Guwahati,India
