id,origin_id,destination_id,status,planned_delivery,actual_delivery,cargo_type,weight_kg,is_demo
SHP-001,LOC-001,LOC-002,in_transit,2026-09-25T14:00:00,,,auto_parts,2500,true
SHP-002,LOC-004,LOC-003,planned,2026-09-26T10:00:00,,,electronics,800,true
SHP-003,LOC-009,LOC-007,delivered,2026-09-22T16:00:00,2026-09-22T17:30:00,textiles,1200,true
SHP-004,LOC-001,LOC-003,delayed,2026-09-23T08:00:00,,,auto_parts,3000,true
SHP-005,LOC-011,LOC-006,in_transit,2026-09-25T20:00:00,,,spices,600,true
SHP-006,LOC-012,LOC-002,planned,2026-09-27T06:00:00,,,steel,5000,true
SHP-007,LOC-004,LOC-010,in_transit,2026-09-25T18:00:00,,,electronics,450,true
SHP-008,LOC-005,LOC-008,planned,2026-09-28T12:00:00,,,pharmaceuticals,300,true
SHP-009,LOC-002,LOC-007,delivered,2026-09-20T09:00:00,2026-09-20T08:45:00,mixed,1800,true
SHP-010,LOC-006,LOC-003,delayed,2026-09-24T11:00:00,,,machinery,4200,true
