id,location_id,timestamp,temperature_c,humidity_pct,vibration_g,battery_pct,alert
SNS-001,LOC-003,2026-09-20T10:00:00,24.5,55,0.2,95,none
SNS-002,LOC-003,2026-09-20T12:00:00,26.1,58,0.3,94,none
SNS-003,LOC-003,2026-09-20T14:00:00,31.8,72,0.8,93,high_temperature
SNS-004,LOC-004,2026-09-18T06:00:00,22.0,45,0.1,98,none
SNS-005,LOC-004,2026-09-18T08:00:00,22.5,46,0.15,97,none
SNS-006,LOC-005,2026-09-22T08:00:00,28.5,65,0.5,88,none
SNS-007,LOC-005,2026-09-22T10:00:00,35.2,78,1.2,85,high_temperature
SNS-008,LOC-005,2026-09-22T12:00:00,36.0,80,1.5,82,high_vibration
SNS-009,LOC-001,2026-09-20T09:00:00,23.0,50,0.1,99,none
SNS-010,LOC-006,2026-09-25T08:00:00,21.5,42,0.1,96,none
SNS-011,LOC-012,2026-09-26T06:00:00,18.0,60,0.2,91,none
SNS-012,LOC-003,2026-09-25T08:00:00,29.5,68,0.6,90,high_temperature
